geo_fips,year,pop,pop_change_yoy,pop_change_yoy_pct,pop_change_yoy_pct_diff,rank_pop,rank_pop_change_yoy,rank_pop_change_yoy_pct,rank_pop_change_yoy_pct_diff,state_name,state_abbr
42000,1930,9649000,-74000,-0.007610819705852103,-0.018336045337991647,2,30,49,49,Pennsylvania,PA
44000,1930,686000,2000,0.0029239766081871343,-0.007801249023952409,37,26,40,40,Rhode Island,RI
45000,1930,1745000,6000,0.0034502587694077054,-0.007274966862731838,26,22,39,39,South Carolina,SC
46000,1930,693000,3000,0.004347826086956522,-0.006377399545183022,36,25,34,34,South Dakota,SD
47000,1930,2619000,15000,0.00576036866359447,-0.004964856968545073,17,17,28,28,Tennessee,TN
48000,1930,5844000,82000,0.01423116973273169,0.003505944100592146,5,3,9,9,Texas,TX
49000,1930,509000,1000,0.001968503937007874,-0.00875672169513167,40,27,43,43,Utah,UT
50000,1930,360000,1000,0.002785515320334262,-0.007939710311805282,46,27,41,41,Vermont,VT
51000,1930,2427000,2000,8.247422680412372e-4,-0.009900483364098307,20,26,46,46,Virginia,VA
53000,1930,1568000,13000,0.008360128617363344,-0.0023650970147761994,30,18,23,23,Washington,WA
54000,1930,1733000,16000,0.009318578916715201,-0.0014066467154243423,27,16,18,18,West Virginia,WV
55000,1930,2950000,16000,0.0054533060668029995,-0.005271919565336544,13,16,29,29,Wisconsin,WI
56000,1930,226000,3000,0.013452914798206279,0.002727689166066735,48,25,10,10,Wyoming,WY
00000,1931,124038000,963000,0.007824497257769653,0,,,,,United States,US
01000,1931,2649000,2000,7.555723460521345e-4,-0.007068924911717518,17,27,40,40,Alabama,AL
04000,1931,429000,-5000,-0.01152073732718894,-0.01934523458495859,45,31,49,49,Arizona,AZ
05000,1931,1848000,-11000,-0.005917159763313609,-0.013741657021083261,25,32,45,45,Arkansas,AR
06000,1931,5824000,113000,0.019786377166870952,0.0119618799091013,6,2,4,4,California,CA
08000,1931,1056000,16000,0.015384615384615385,0.007560118126845733,33,17,8,8,Colorado,CO
09000,1931,1628000,15000,0.009299442033477991,0.0014749447757083384,29,18,20,20,Connecticut,CT
10000,1931,242000,3000,0.012552301255230125,0.004727803997460473,47,26,16,16,Delaware,DE
11000,1931,504000,16000,0.03278688524590164,0.02496238798813199,41,17,1,1,District of Columbia,DC
12000,1931,1493000,22000,0.01495581237253569,0.007131315114766038,31,12,9,9,Florida,FL
13000,1931,2924000,14000,0.004810996563573883,-0.003013500694195769,14,19,30,30,Georgia,GA
16000,1931,454000,7000,0.015659955257270694,0.007835457999501041,43,24,7,7,Idaho,ID
17000,1931,7687000,43000,0.005625327053898482,-0.0021991702038711702,3,7,28,28,Illinois,IL
18000,1931,3257000,15000,0.0046267735965453425,-0.00319772366122431,11,18,32,32,Indiana,IN
19000,1931,2482000,7000,0.0028282828282828283,-0.004996214429486824,19,24,36,36,Iowa,IA
20000,1931,1881000,-2000,-0.0010621348911311736,-0.008886632148900826,24,30,42,42,Kansas,KS
21000,1931,2652000,29000,0.01105604269919939,0.003231545441429737,16,11,17,17,Kentucky,KY
22000,1931,2124000,19000,0.009026128266033254,0.0012016310082636015,22,14,21,21,Louisiana,LA
23000,1931,807000,7000,0.00875,9.255027422303483e-4,35,24,22,22,Maine,ME
24000,1931,1657000,21000,0.012836185819070905,0.005011688561301252,28,13,14,14,Maryland,MD
25000,1931,4248000,-2000,-4.7058823529411766e-4,-0.008295085493063771,8,30,41,41,Massachusetts,MA
26000,1931,4798000,-36000,-0.007447248655357882,-0.015271745913127535,7,34,48,48,Michigan,MI
27000,1931,2614000,38000,0.014751552795031056,0.0069270555372614034,18,9,10,10,Minnesota,MN
28000,1931,1994000,-12000,-0.005982053838484547,-0.0138065510962542,23,33,46,46,Mississippi,MS
